,date,Bariloche,isPartial,Mes,Año
0,2019-03-17,55,False,3,2019
1,2019-03-24,52,False,3,2019
2,2019-03-31,47,False,3,2019
3,2019-04-07,51,False,4,2019
4,2019-04-14,54,False,4,2019
5,2019-04-21,50,False,4,2019
6,2019-04-28,51,False,4,2019
7,2019-05-05,55,False,5,2019
8,2019-05-12,51,False,5,2019
9,2019-05-19,55,False,5,2019
10,2019-05-26,58,False,5,2019
11,2019-06-02,56,False,6,2019
12,2019-06-09,63,False,6,2019
13,2019-06-16,64,False,6,2019
14,2019-06-23,72,False,6,2019
15,2019-06-30,74,False,6,2019
16,2019-07-07,72,False,7,2019
17,2019-07-14,83,False,7,2019
18,2019-07-21,100,False,7,2019
19,2019-07-28,72,False,7,2019
20,2019-08-04,65,False,8,2019
21,2019-08-11,61,False,8,2019
22,2019-08-18,62,False,8,2019
23,2019-08-25,58,False,8,2019
24,2019-09-01,61,False,9,2019
25,2019-09-08,53,False,9,2019
26,2019-09-15,55,False,9,2019
27,2019-09-22,51,False,9,2019
28,2019-09-29,53,False,9,2019
29,2019-10-06,56,False,10,2019
30,2019-10-13,52,False,10,2019
31,2019-10-20,45,False,10,2019
32,2019-10-27,53,False,10,2019
33,2019-11-03,52,False,11,2019
34,2019-11-10,54,False,11,2019
35,2019-11-17,55,False,11,2019
36,2019-11-24,57,False,11,2019
37,2019-12-01,50,False,12,2019
38,2019-12-08,49,False,12,2019
39,2019-12-15,59,False,12,2019
40,2019-12-22,67,False,12,2019
41,2019-12-29,80,False,12,2019
42,2020-01-05,97,False,1,2020
43,2020-01-12,83,False,1,2020
44,2020-01-19,78,False,1,2020
45,2020-01-26,78,False,1,2020
46,2020-02-02,81,False,2,2020
47,2020-02-09,76,False,2,2020
48,2020-02-16,71,False,2,2020
49,2020-02-23,69,False,2,2020
50,2020-03-01,68,False,3,2020
51,2020-03-08,54,False,3,2020
52,2020-03-15,41,False,3,2020
53,2020-03-22,24,False,3,2020
54,2020-03-29,29,False,3,2020
55,2020-04-05,32,False,4,2020
56,2020-04-12,31,False,4,2020
57,2020-04-19,32,False,4,2020
58,2020-04-26,30,False,4,2020
59,2020-05-03,31,False,5,2020
60,2020-05-10,33,False,5,2020
61,2020-05-17,31,False,5,2020
62,2020-05-24,31,False,5,2020
63,2020-05-31,32,False,5,2020
64,2020-06-07,35,False,6,2020
65,2020-06-14,34,False,6,2020
66,2020-06-21,37,False,6,2020
67,2020-06-28,38,False,6,2020
68,2020-07-05,35,False,7,2020
69,2020-07-12,36,False,7,2020
70,2020-07-19,37,False,7,2020
71,2020-07-26,41,False,7,2020
